Consumer_ID,Preferred_Cuisine
U1001,American
U1002,Mexican
U1003,Mexican
U1004,Bakery
U1005,American
U1006,Mexican
U1007,Family
U1008,Coffee Shop
U1009,Diner
U1010,Mexican
U1011,Mexican
U1012,Latin American
U1013,Japanese
U1014,Japanese
U1015,Mexican
U1016,Coffee Shop
U1017,Chinese
U1018,Mexican
U1019,Family
U1020,Mexican
U1021,Pizzeria
U1022,Mexican
U1023,Mexican
U1024,Afghan
U1025,Mexican
U1026,Mexican
U1027,Family
U1028,Mexican
U1029,Mexican
U1030,Mexican
U1031,Mexican
U1032,Mexican
U1033,Mexican
U1034,Mexican
U1035,Family
U1036,Mexican
U1037,Mexican
U1038,Mexican
U1039,Regional
U1040,Pizzeria
U1041,Contemporary
U1042,Mexican
U1043,Latin American
U1044,Mexican
U1045,Middle Eastern
U1046,Bar
U1047,American
U1048,Mexican
U1049,Mexican
U1050,Mexican
U1051,Mexican
U1052,Bakery
U1053,Mexican
U1054,Mexican
U1055,Breakfast
U1056,Mexican
U1057,American
U1058,Cuban
U1059,Mexican
U1060,Burgers
U1061,Mexican
U1062,Mexican
U1063,Mexican
U1064,Mexican
U1065,Mexican
U1066,Mexican
U1067,Mexican
U1068,Mexican
U1069,Mexican
U1070,Mexican
U1071,Mexican
U1072,Mexican
U1073,American
U1074,Sushi
U1075,Mexican
U1076,Mexican
U1077,Mexican
U1078,Mexican
U1079,Mexican
U1080,Mexican
U1081,Mexican
U1082,Mexican
U1083,Mexican
U1084,Mexican
U1085,Mexican
U1086,Italian
U1087,Chinese
U1088,Mexican
U1089,Mexican
U1090,Tex Mex
U1091,American
U1092,Game
U1093,Japanese
U1094,Mexican
U1095,Italian
U1096,Mexican
U1097,Mexican
U1098,Mexican
U1099,Mexican
U1100,Mexican
U1101,Chinese
U1102,Pizzeria
U1103,Mexican
U1104,Italian
U1105,Cafeteria
U1106,Barbecue
U1107,Mexican
U1108,Coffee Shop
U1109,Mexican
U1110,Mexican
U1111,Mexican
U1112,Mexican
U1113,Burgers
U1114,Mexican
U1115,Regional
U1116,Mexican
U1117,Turkish
U1118,Pizzeria
U1119,Mexican
U1120,Mexican
U1121,Mexican
U1122,Afghan
U1123,Mexican
U1124,Mexican
U1125,Mexican
U1126,Mexican
U1127,Mexican
U1128,Cafeteria
U1129,Mexican
U1130,Mexican
U1131,Mexican
U1132,Mexican
U1133,Mexican
U1134,Mexican
U1135,Organic
U1136,Mexican
U1137,Mexican
U1138,Pizzeria
